[00:00 - 00:29] ご視聴ありがとうございました
[00:30 - 00:35] 入ってこられますかね
[00:35 - 00:37] はいお待たせしました
[00:37 - 00:39] はいお待ちしておりました
[00:39 - 00:40] ありがとうございました
[00:40 - 00:44] 元30分ほどになるんですけどよろしくお願いします
[00:44 - 00:47] 30分以上かけんわ
[00:47 - 00:54] この前までの話がどちらかというとざっくりした
[00:54 - 00:57] じゃあこれでいきましょうという話に終始しておりましたので
[00:57 - 01:05] 今日はちょっとそこから私が受けますよというお話の後からやってる部分っていうのを
[01:05 - 01:08] 少し紐解いていただきながら
[01:08 - 01:10] 方向性として間違ってないかとか
[01:10 - 01:15] いろいろ確認していただきながらやれればなというふうに思っていますということで
[01:15 - 01:19] 資料って木村さん見られました?
[01:19 - 01:22] ざっくりね細かくまで全然見えてない
[01:22 - 01:24] 全く追いつけてないの今
[01:24 - 01:25] すいません
[01:25 - 01:27] 忙しい中
[01:27 - 01:30] 一応作ろうとしているものはこうです
[01:30 - 01:32] 作ろうというか提供しようとしているものは
[01:32 - 01:33] こういうものですよっていうところ
[01:33 - 01:36] あれだよね写真でいうか
[01:36 - 01:41] 画像化してくれてたやつだよね
[01:41 - 01:43] そうですね画像化したりとか
[01:43 - 01:46] あと社内でどう管理していくかとかっていうのも
[01:46 - 01:48] ツールが必要ってこの前言ったので
[01:48 - 01:51] それがもう今実は作ってて面白かったんで
[01:51 - 01:53] もうほぼ6割ぐらいできちゃったんですけど
[01:53 - 01:56] おおむね君に任せておくとそうなるだろうと思ってるから
[01:56 - 01:58] そんなに何も心配してないから
[01:58 - 02:00] むしろこっちに時間を割いてない
[02:00 - 02:01] あとは
[02:01 - 02:05] ヒゲ生やしてるのが面白かった
[02:05 - 02:08] あれですよね
[02:08 - 02:10] なんでそうなったってやつなんですけど
[02:10 - 02:15] その中でちょっと出てきた課題っていうのが
[02:15 - 02:17] 例えばサービスの価格面だったりとか
[02:17 - 02:19] ああいうのの根拠となるのが
[02:19 - 02:22] 結局その一社何円ぐらいで提供すれば
[02:22 - 02:26] サーバー何台でいけるよっていう根拠を出してたと思うんですけども
[02:26 - 02:32] 今はお客様にXサーバー契約してもらってっていう話なんですけど
[02:32 - 02:35] 書いてある通りまず維持管理が大変になってきます
