[00:00 - 00:05] ありますので、またご協力いただけると嬉しいです。
[00:05 - 00:14] ありがとうございます。
[00:14 - 00:25] ちょっと長時間になりますので、途中休憩を挟みながらやりたいなと思っておりますので。
[00:25 - 00:30] はじめ早速データに進んだかっ プログラムのほうやってますねーです
[00:30 - 00:34] なんですねありがとうございます そしたらもう一度あの
[00:34 - 00:39] ヘッドページのスタッフを参加させて いただきますのではい
[00:39 - 00:43] 画面上で一度お伺いしてますけど
[00:43 - 00:45] ん
[00:48 - 00:53] またその今日は東京から帰ったんですか すいませんちなみに申し訳ないとディース
[00:53 - 00:56] ですよ
[00:57 - 01:02] 県の立ち上げとかそういうところで サポートに入らせていただきました
[01:02 - 01:05] なるほど
[01:05 - 01:14] いやー、暑いですねまだ。なんか涼しくなったと思ったら、そうですよね、途端に暑くなってっていうところでした。
[01:18 - 01:25] 富山中央郵便局の倉庫を担当させていただいている小倉と申し上げますので、よろしくお願いします。
[01:25 - 01:26] よろしくお願いします。
[01:26 - 01:56] お疲れ様でした
[01:56 - 02:12] はい、ではよろしいでしょうか
[02:12 - 02:17] では早速ですが受入れテストを始めさせていただきます
[02:17 - 02:22] 今日は受入れテストでございますが
[02:22 - 02:30] こちらの資料、使用書、1枚目取ってください
[02:30 - 02:36] 今日のテスト内容としましては
[02:36 - 02:42] まずはマスター関係及び入荷をテストさせていただきます
[02:42 - 02:45] 続いてシナリオ2出荷
[02:45 - 02:48] シナリオ3その他出荷
[02:48 - 02:52] これは普通の出荷指示
[02:52 - 02:55] 航空システムから出荷指示をいただくのはシナリオ2のほうになります
[02:55 - 02:58] シナリオ3のほうが倉庫間移動
[02:58 - 03:02] こちらの倉庫から物を持ち出すとか
[03:02 - 03:06] Uパックを使わない出荷を指しますが
[03:06 - 03:08] それをシナリオ3で行います
[03:08 - 03:14] 最後シナリオ4 リジェクトをテストさせていただきます
[03:14 - 03:15] ディジェクトというのは
[03:15 - 03:20] WMSに出荷指示データをアップロードした後に
[03:20 - 03:22] キャンセルなどがあった場合
[03:22 - 03:26] どのようにWMSでキャンセル登録ができますので
[03:26 - 03:30] それを最後にテストして
[03:30 - 03:33] どういった動きをするのかというのを
[03:33 - 03:34] ご確認いただいて
[03:34 - 03:37] 本日は終わりたいなと思っております
[03:37 - 03:41] 一応シナリオ2の出荷の途中で
[03:41 - 03:44] 一旦ちょっと休憩を挟みたいなと思っておりますので
[03:44 - 03:46] またよろしくお願いいたします
[03:46 - 03:47] はい
[03:47 - 03:50] では早速ですが
[03:50 - 03:54] シナリオ1のマスター及び入科というところで
[03:54 - 03:58] 今のテスト環境が開かれております
[03:58 - 04:02] 先ほど坪地さんと電話させていただきましたが
[04:02 - 04:05] 今の商品情報ですとか
[04:05 - 04:08] そういったところはすべて空っぽになっている状態
[04:08 - 04:11] ちょっと坪地さんの方で
[04:11 - 04:12] カバンの方の消費マスター
[04:12 - 04:16] 登録していっていただいたところではあったんですけれども
[04:16 - 04:18] ちょっとさせていただきました
[04:18 - 04:21] 今電話でお聞きしたところ
[04:21 - 04:25] 消費マスター画面上で登録していっていただいた
[04:25 - 04:26] というふうにお聞きしているので
[04:26 - 04:30] これはCSVデータで一括登録を
[04:30 - 04:33] このテストでは行いたいなと思っておりますので
[04:33 - 04:37] それを実際に坪地さんにやっていただきたいんですけれども
[04:37 - 04:45] 一応ですね、これがエクセルできたりとかは分かりにくいですね。
[04:45 - 04:51] インターフェース仕様書の通りの並びになっております。
[04:51 - 04:58] この作りで作っていただければ、そのままアップロードできますので、
[04:58 - 05:02] それをちょっと今実際にやってみますので。
[05:02 - 05:06] こちらで一応準備はしたんですが
[05:06 - 05:09] 情報ですね
[05:09 - 05:10] 最初のものを
[05:10 - 05:12] ありがとうございます
[05:12 - 05:17] 今テストの時の
[05:17 - 05:18] 若干の
[05:18 - 05:21] このズレがあったら困りますので
[05:21 - 05:23] 準備したこのCSVで
[05:23 - 05:26] テストはさせていただきたいなと思います
[05:26 - 05:27] それではお願いします
[05:27 - 05:46] こちら消費マスター系に関しては
[05:46 - 05:49] 本社でのこの作業が今後ずっと
[05:49 - 05:54] 消費が追加になるためにやっていただくことになりますので
[05:54 - 05:56] 一旦どういった内容なのかというと
[05:56 - 06:02] 今の商品マスターをインターフェースのアップロードをいたします。
[06:02 - 06:06] これは普通のインターフェースのファイルアップロード。
[06:11 - 06:19] ここをファイルを押したら、このマグニチュアを押して、インポートします。
[06:20 - 06:23] 処理は精度に完了しました。
[06:23 - 06:27] 12点だけアップロードいたしました
[06:27 - 06:33] その次に、今カットオファーの時には
[06:33 - 06:38] セット商品マスターを使わない運用でいきますが
[06:38 - 06:41] テストではセット商品の動きも見舞いますので
[06:41 - 06:44] セット商品マスターもアップロードします
[06:48 - 06:52] セットって頭についているのがセット商品マスターですので
[06:52 - 07:01] このようにインターフェース項目が正しければ
[07:01 - 07:07] 一括でどのくらいでも何件でもアップロードは可能でございますので
[07:07 - 07:10] 1件2件くらいのスケールであれば
[07:10 - 07:13] 画面上で登録していってもいいかなと思うんですが
[07:13 - 07:16] 10件とか20件とか30件を一括でこうやって
[07:16 - 07:19] こちらを使っていただければ
[07:19 - 07:24] 一旦メニューに戻してください
[07:24 - 07:27] 今入れたものを確認します
[07:27 - 07:36] 紹介動画でやるんですけど
[07:36 - 07:42] 今12回入っております
[07:42 - 07:50] 今ストーシング内容のセット商品マスターを登録するというところと
[07:50 - 07:52] 登録されていること
[07:52 - 07:54] 今商品マスターを登録しましたね
[07:54 - 07:57] 次にセット商品マスターを見てみます
[07:57 - 07:58] それです
[07:58 - 08:02] 今日遅くてすみません
[08:02 - 08:06] このセットがあります
[08:06 - 08:09] これをちょっと鉛筆マークを開いてみたらいいですか
[08:09 - 08:15] この親品目コードというのが販売名だと思ってください
[08:15 - 08:18] 販売名
[08:18 - 08:23] 今これテストなので仮で作ってみたんですけれども
[08:23 - 08:27] ルームクリーンセットというセットで販売しているもの
[08:27 - 08:37] 例えばモールでこのセットで商品を1個単位で販売していくというようなところで
[08:37 - 08:44] これが1個売れたらこれとこれが中身ですよというようなイメージになります
[08:44 - 08:47] この数量は自由に書いていただいて
[08:47 - 08:54] このルームクリーンセットはこれが1個とこれが2個とかという設定も可能でございますので
[08:54 - 09:00] そのような形でセット商品を使う場合
[09:00 - 09:08] 今はアソートされた状態で納品いただいておりますが
[09:08 - 09:12] 今後そういったところもWMSを使っていただければ
[09:12 - 09:16] 簡単に出荷までさせていただくことができますので
[09:16 - 09:21] これ実際に今日どのように出荷していくことになるかというところも
[09:21 - 09:25] テストいたしますので動きについても見ていただくことになります
[09:25 - 09:26] ありがとうございます
[09:26 - 09:31] そしたら今の商品マスターが入りましたので
[09:31 - 09:34] 次に実際にこの商品
[09:34 - 09:37] 今商品マスターが入っている状態になります
[09:37 - 09:43] ここにWNSに在庫を入れていくことになります
[09:43 - 09:44] 今在庫はゼロの状態
[09:44 - 09:46] その商品マスターに対して
[09:46 - 09:48] 今から在庫を入れていくので
[09:48 - 09:52] 入荷予定データを登録していきますが
[09:52 - 10:06] また、入会予定データも御社で入れていただくことになりますので、今のメールで頂いているものか、今度はWMS上でその情報を頂くことになります。
[10:06 - 10:10] では、インターネットの方にもまたアプローチをお願いします。
[10:10 - 10:13] もう③のデータになります。
[10:13 - 10:18] あ、③じゃない。③はタイトルですから。
[10:18 - 10:21] ④でございます。
[10:21 - 10:31] すみません 潰すためにやっていただいちゃいまして
[10:31 - 10:33] 申し訳ございません
