[00:00 - 00:06] 3層研さんのさっきの話なんですけど
[00:06 - 00:12] 具体的にまず残業の表示
[00:12 - 00:16] 今ってこの上と下だけだと思うんですけど
[00:16 - 00:19] それに新たにこういうのを作りまして
[00:19 - 00:27] その残業申請自体は今ある画面にボタン一つ作ってやればいいんですけど
[00:27 - 00:30] あとはこっちのディスプレイの方にどう表現するかっていう話なんですけど
[00:30 - 00:36] そこで申請をしたら基本的にまずここに名前が上がってくる
[00:36 - 00:40] 右側の残業予定者の枠の中にってことですよね
[00:40 - 00:46] 残業予定者の枠の中に入っている人が実際に1131のクリーンルームだったりとか
[00:46 - 00:52] 1135のクリーンルームに入ると当然このパネルのところに名前が入り込んでくると思うんですけど
[00:52 - 00:54] 僕はね
[00:54 - 00:57] これにすると
[00:57 - 00:57] あの
[00:57 - 01:00] 他の
[01:00 - 01:03] 案件が入ってきたときに大変になってくるんで
[01:03 - 01:05] iPhoneのアイコンみたいに
[01:05 - 01:08] バッチつけたほうがいいんちゃうかなって思うんですよね
[01:08 - 01:09] あー
[01:09 - 01:11] 丸1
[01:11 - 01:12] 丸2
[01:12 - 01:14] ここにザンみたいな
[01:14 - 01:17] そういうのが入る
[01:17 - 01:18] それを
[01:18 - 01:20] 入っていれば
[01:20 - 01:23] 残とかってわかるじゃないですか
[01:23 - 01:25] もともとこの日東さんも
[01:25 - 01:27] 背景色これだったら
[01:27 - 01:28] 緑色っぽくなっているので
[01:28 - 01:31] パッと見た時に高橋一郎さんと
[01:31 - 01:33] 佐藤潤子さんが残業するんだな
[01:33 - 01:35] っていうのがパッと見て
[01:35 - 01:36] わかると思うんですけど
[01:36 - 01:38] 入る前にも
[01:38 - 01:41] 今日残業する人が誰なのか
[01:41 - 01:43] 申請しているのが誰なのか
[01:43 - 01:45] を見ておきたい
[01:45 - 01:47] であればここパネル式じゃなくて
[01:47 - 01:48] 一覧の方がいいかもしれない
[01:48 - 01:51] 別にここに合わせる必要ない
[01:51 - 01:52] 一覧で
[01:52 - 01:53] 一覧で名前で
[01:53 - 01:57] 何時間残やるよみたいな
[01:57 - 02:00] 一応ちなみに話なんですけど
[02:00 - 02:02] その残は何時間とか
[02:02 - 02:04] 特になくて
[02:04 - 02:07] その日残業するかしないかだけでいい
[02:07 - 02:07] マジっすか
[02:07 - 02:09] それ労働基準法違反です
[02:09 - 02:13] 会社じゃないというか
[02:13 - 02:17] 直接雇用がないんだったら
[02:17 - 02:19] それもありかになとは思うんですけど
[02:19 - 02:21] しかも当日限り
[02:21 - 02:24] それだけでいい
[02:24 - 02:25] 機能的にはもう
[02:25 - 02:28] っていうことなので
[02:28 - 02:30] 言われたように
[02:30 - 02:32] パネルじゃなくて
[02:32 - 02:34] 文字列を縦にバーって
[02:34 - 02:37] やってしまってこの辺で切って
[02:37 - 02:37] 例えばなんか
[02:37 - 02:40] でもここのクリーンルームの
[02:40 - 02:43] ここのところに酸素濃度とか出しちゃいいか
[02:43 - 02:48] 他の要素のことも考えて
[02:48 - 02:53] UIスペースを区切らんにゃいかんかいな
[02:53 - 02:55] ってちょっと思ってるんですよね
[02:55 - 02:56] 今ここですけど
