[00:00 - 00:06] これでちょっと端末の方で録音するようにいたしました
[00:06 - 00:09] ごめんなさい
[00:09 - 00:11] ちょっと音声トラブルが発生して
[00:11 - 00:17] この会社は社会に対してどんな価値を提供したかですね
[00:17 - 00:19] したか
[00:19 - 00:21] 過去形だもんね
[00:21 - 00:23] 価値を提供したか
[00:23 - 00:25] 会社か
[00:25 - 00:28] 会社としては
[00:28 - 00:32] 提供したか
[00:32 - 00:38] 今現時点で言うと人を雇い始めていて
[00:38 - 00:41] お給料もちゃんと出してて
[00:41 - 00:45] みんなが働きやすい環境を提供しているという意味で
[00:45 - 00:48] 社会的価値はまずそこで一つクリアできた
[00:48 - 00:52] 税金も納めてるってことでクリアできたのかなと思ってて
[00:52 - 00:55] 扱っているブランドとしては
[00:55 - 00:58] そのスノーフォックスをやる時に
[00:58 - 01:02] 私がやっぱりみんなよく分かってないんですよ
[01:02 - 01:03] スキンケア何がいいか
[01:03 - 01:09] そこを私が真剣にちゃんと読み解いていって
[01:09 - 01:11] 即休塾をしっかりして
[01:11 - 01:13] カウンセリングを重視にして
[01:13 - 01:17] 手作という肌疾患を突き詰めていったことで
[01:17 - 01:20] これ私結構私が頑張ったせいだと思うんですけど
[01:20 - 01:23] 手作の認識が世の中で
[01:23 - 01:26] 私が頑張りだしてから一気に広まって
[01:26 - 01:30] 主催用のスキンケアが一気に増えた
[01:30 - 01:31] ここ最近特に
[01:31 - 01:35] でもこれ私が結構頑張ったからだと思ってて
[01:35 - 01:36] でもそのおかげで
[01:36 - 01:40] 肌疾患を持っている人たちの世間の認識が
[01:40 - 01:42] 少し良くなったとか理解度が上がった
[01:42 - 01:45] 例えばこれ書けないかもしれないけど
[01:45 - 01:46] 皮膚科医の方って
[01:46 - 01:49] お医者さんって全然主催のこと知らない方多くて当時
[01:49 - 01:51] 私はそれに気づいて
[01:51 - 01:54] 本当にお医者様は
[01:54 - 01:56] 手作だって分かって手作判断をしたのか
[01:56 - 01:58] みたいなところをしっかり訴求したり
[01:58 - 02:01] 患者さんに来てくるお客さんに聞いたりして
[02:01 - 02:04] 裏のカウンセリングすごいやったんですよ
[02:04 - 02:08] そういう地道なこの4年ぐらいの活動が結んで
[02:08 - 02:11] 本当に最近またパクリのさ
[02:11 - 02:14] 手作用のスキンケアが投資会でできてて
[02:14 - 02:18] これ完全にパクられたなと思ってて
[02:18 - 02:19] そういうのが出るっていうのは
[02:19 - 02:21] 私がある程度
[02:21 - 02:24] 主査という皮膚疾患に対する認識を
[02:24 - 02:26] 日本の認識を変えることができたのかな
[02:26 - 02:27] というところが
[02:27 - 02:29] 会社としてではないけど
[02:29 - 02:31] ブランドとしては貢献かなと思っています
[02:31 - 02:32] なるほど
[02:32 - 02:34] そうやって医療の方では
[02:34 - 02:37] 全く気づけなかったことを
[02:37 - 02:38] スキンケアを通して
[02:38 - 02:40] 気づくことができるような
[02:40 - 02:43] 業界に対する影響力があった
[02:43 - 02:44] ということですね
[02:44 - 02:48] 今後10年ですね
[02:48 - 02:49] この後10年
[02:49 - 02:53] 御社はどんな風になってたらいいな
[02:53 - 02:56] どんな風になるなっていう風な部分を
[02:56 - 02:58] 教えていただきたいんですが
[02:58 - 03:00] 最終的には
[03:00 - 03:04] まず自分のストアは世界に
[03:04 - 03:07] 結構早い段階で出そうと思ってるんです
[03:07 - 03:08] 第一店舗は
[03:08 - 03:10] なのでグローバル企業になってます
[03:10 - 03:11] さらには
[03:11 - 03:15] 商社レベルのことをすることになると思っていて
[03:15 - 03:18] 第一歩としては
[03:18 - 03:19] 医薬品を扱う
[03:19 - 03:21] これについてはつい先日も
[03:21 - 03:23] 医薬品の卸売業が取れたので
[03:23 - 03:25] 第一歩を踏めたかなと思っていて
[03:25 - 03:27] 東京のお店も
[03:27 - 03:30] 薬局として登録をしているので
[03:30 - 03:31] 今後
[03:31 - 03:34] 町財薬局としても進化を遂げて
