[00:00 - 00:02] はい よろしくお願いします
[00:02 - 00:03] はい お願いします
[00:03 - 00:10] 今はもうちょっとログインはしてみられましたでしょうか
[00:10 - 00:11] はい ログインしてます
[00:11 - 00:15] ありがとうございます そしたらちょっと画面共有していただきながら
[00:15 - 00:17] 説明していきますので
[00:17 - 00:20] わかりました ちょっと待ってくださいね
[00:20 - 00:20] はい
[00:30 - 00:59] ご視聴ありがとうございました
[01:00 - 01:22] 今は実はお客様として有限会社セレクトが登録してあって
[01:22 - 01:28] 1台動いているN8Nが動いているという形になっています
[01:28 - 01:33] 説明書は一通り読まれました
[01:33 - 01:36] どういう概念なのかというのは分かりました
[01:36 - 01:38] 読んでないですかまだ
[01:38 - 01:43] 説明書があるのは見ましたという感じです
[01:43 - 01:45] 分かりました
[01:45 - 01:51] 要はこの丸投げワークフローの管理画面というのが
[01:51 - 01:53] いろんなサーバーの設定だったりとか
[01:53 - 01:57] そういったものを全部自動化するようなものになっていますので
[01:57 - 02:03] じゃあ試しに1社増やしてみて1個サーバー作ってみましょうか
[02:03 - 02:08] 左側にあるのがメニューの部分になりますので
[02:08 - 02:11] 今ダッシュボードが表示されてます
[02:11 - 02:15] 全体的な顧客数だったりテナント数だったり
[02:15 - 02:18] インスタンス数っていうのが出ていたりとか
[02:18 - 02:21] あとN8Nのワークフローは今どれぐらい動いててとか
[02:21 - 02:24] っていうのが分かるような形になってるってことですね
[02:24 - 02:31] じゃあまずインスタンスを見ていただきましょうか
[02:31 - 02:35] インスタンスって何なのかっていうと
[02:35 - 02:39] これが実際のサーバーになります
[02:39 - 02:43] 一つのサーバーの中にN8Nをお客さんごとに
[02:43 - 02:46] たくさん動かすっていうことを今回やりますので
[02:46 - 02:51] 例えば今これだとSAKURAの石狩リージョンで動いてる
[02:51 - 02:52] サーバー1台で
[02:52 - 02:55] なんと8分の1ってなってますので
[02:55 - 02:59] あと8台分ぐらい動かせるキャパあるねっていう形で
[02:59 - 03:00] 設定が入ってて
[03:00 - 03:05] あと今は1台だけ動いてるよってことになります
[03:05 - 03:10] これはお客さんが増えたりとか
[03:10 - 03:14] 動かすN8Nの数が多くなってくると
[03:14 - 03:17] このインスタンスを追加するっていうことが
[03:17 - 03:19] 必要になってくるんですけども
[03:19 - 03:23] 追加の作業自体は私がしないと多分できないと思いますので
[03:23 - 03:26] ここは皆さんがどういうサーバーに
[03:26 - 03:27] 今何台ぐらい入っているかというのを
[03:27 - 03:29] 把握するためのものだと思ってください
[03:29 - 03:34] じゃあ次顧客に行きましょうか
[03:34 - 03:34] はい
[03:34 - 03:38] 左側に顧客があると思いますので
[03:38 - 03:41] はい
[03:41 - 03:47] 今は顧客一覧の中に会社名で
[03:47 - 03:50] 有限会社セレクトが入っているというような状態です
[03:50 - 03:53] 例えば複数増えていくと
[03:53 - 03:57] ここにどんどんお客さんが増えていくという形ですね
[03:57 - 04:00] 右上に顧客追加というのがあるので
[04:00 - 04:02] それを押してみてください
[04:02 - 04:03] はい
[04:03 - 04:06] じゃあ例えば今
[04:06 - 04:09] ご契約中というか
[04:09 - 04:12] 動かしているお客さんの実際の情報で
[04:12 - 04:14] ちょっと入れていってみていただいていいですか
[04:14 - 04:16] はい
[04:16 - 04:19] 待ってくださいね
[04:19 - 04:20] お名前が
[04:20 - 04:39] これって
[04:39 - 04:40] え
[04:40 - 04:42] あの
[04:42 - 04:48] メータードレスごとというか
[04:48 - 04:52] 入る人ごとに一人ずつ作っていった方がいいような形ですかね
[04:52 - 04:55] いえこれはあくまでも丸投げワークフローの
[04:55 - 04:59] メインの契約者が誰かというだけの話なので
[04:59 - 05:03] 実際はN8Nに落としたときに
[05:03 - 05:06] いろんなユーザーさん作られてればいいと思うんですけども
[05:06 - 05:10] あくまでもテナントを管理するための顧客情報というところですね
[05:10 - 05:16] じゃあ社長さんだったり
[05:16 - 05:20] ミーティングにメインで参加されてる方だったり
[05:20 - 05:23] っていうようなイメージですかね
[05:23 - 05:23] そうですね
[05:23 - 05:26] なるほど
[05:40 - 05:42] はい
[06:10 - 06:12] いいんですいいんです
[06:12 - 06:14] 中村さんだけでもいいんですよ
[06:14 - 06:16] こちらが認識するためのものなんで
[06:16 - 06:19] メールアドレスは絶対必要ですので
[06:19 - 06:21] はいはいはい
[06:22 - 06:26] せいで言うとメールアドレスか分かんないか
[06:26 - 06:28] 本当ですか
[06:28 - 06:33] 基本N8Nってメアド系でやっていくので
