[00:00 - 00:02] ベアリングってどうやってやるんですか?
[00:02 - 00:04] ベアリングですね。
[00:06 - 00:08] ループースですよね。
[00:18 - 00:25] 新たにデバイスとしては認識しているはずのベアリング図になってますけど、
[00:26 - 00:28] ちょっと一回削除してみましょうかね。
[00:30 - 00:34] 一回ちょっと認識しているものを消します。
[00:46 - 00:47] これで来ました。
[00:48 - 00:49] ありがとうございます。
[00:49 - 00:50] はい。
[00:51 - 00:54] 一本かからないのを、違う音をやると。
[00:57 - 00:59] 何本でも言ってください。
[01:00 - 01:02] ご希望でしたらあれですよ
[01:02 - 01:05] 遠隔モジュール入れさせてもらったら
[01:05 - 01:08] 各書員さんとかでプリンターが出るとか
[01:08 - 01:11] なんかつかなかなみたいな話があったら
[01:11 - 01:14] 一本電話僕にするだけで
[01:14 - 01:19] 今日はこのパソコンがクリーンに出ないって言われて
[01:19 - 01:23] インストールしたんですけど出ませんって言われて
[01:23 - 01:24] そんなことあるけど
[01:24 - 01:29] でも俺仕事したいからまた後でと思った
[01:29 - 01:36] とりあえず、今日ちょっと行きたいと思います。
[01:36 - 01:45] 2週生からは、1回も2回も、夜の9時になったら入れなくなるんですか?
[01:45 - 01:49] 時間になったらってやつですね。入れなくなるの?
[01:49 - 01:50] 入れなくなるの?
[01:50 - 01:55] 使えなくなるっていうか、9時とか10時になったら。
[01:55 - 02:00] これはですね本社のインターネット接続方式の問題なんですよ
[02:00 - 02:04] 今PPPOEっていうものでつながっているんですけども
[02:04 - 02:08] これ実はNTTの局者っていうのが地域ごとにあるんですが
[02:08 - 02:11] その地域でめちゃくちゃ通信が多くなると
[02:11 - 02:16] 服装って言ってちょっと待ってっていう状態が起こるんですよ
[02:16 - 02:18] これ解決する方法なんですが
[02:18 - 02:24] NTTでインターネットせずにケーブルテレビ富山さん入れられるとバッチリです
[02:24 - 02:30] そうすると多分今のネットの速さの12倍速くなります
[02:30 - 02:32] 同じ値段で
[02:32 - 02:35] なのでそれが多分良いと思います
[02:54 - 03:03] 多分光の回線代で5、6千円ぐらいで、プロバイダー代が2千円ぐらいってことだと思うんですよね。
[03:09 - 03:15] そうですね、5千円に24時間出張修理費まで入ってる。
[03:15 - 03:16] これ消しました。
[03:16 - 03:17] あ、チェック終わったですね。
[03:17 - 03:21] もうきれいになったんで、いないやつを消そうと思って。
[03:21 - 03:22] なるほど。
[03:22 - 03:27] そうするとこれのあのオフィスフォンがあるんですけど
[03:27 - 03:31] こいつだけがちょっと難儀ですかね
[03:31 - 03:35] この接続がちょうどオフィスフォンなんですけど
[03:35 - 03:38] これができるのってこのNTTだけなんで
[03:38 - 03:45] 本当に光回線追加でケーブルテレビで入れるか
[03:45 - 03:48] もしくは今のこの契約はそのままで
[03:48 - 03:51] プロバイダーだけを変えるという方法がありまして
[03:51 - 03:55] 多分この改選を契約したときに
[03:55 - 03:59] NTTから来た契約通知書があると思うんですけど
[03:59 - 04:03] それにCAFって書いてある番号があるんですが
[04:03 - 04:07] それさえ分かればもっと早いのを提供することができます
[04:07 - 04:11] 分からん
[04:11 - 04:13] 今の言葉が日本語とは思えない
[04:13 - 04:16] もっと難しい言葉いっぱい知ってらっしゃるでしょう
[04:16 - 04:18] 高村さんの方が
[04:18 - 04:21] 全部最初から俺がやってれば分かるんですけど
