[00:00 - 00:11] お世話になっております
[00:11 - 00:13] お疲れ様です
[00:13 - 00:14] お疲れ様です
[00:14 - 00:15] はい
[00:15 - 00:17] なんか俺以外出てる
[00:17 - 00:18] 大丈夫だね
[00:18 - 00:19] はい
[00:19 - 00:21] お忙しいところありがとうございます
[00:21 - 00:23] エピソードマスターの荒川です
[00:23 - 00:24] よろしくお願いします
[00:30 - 00:42] 今日は今弥生でやっている範囲の相談という形で進めたいと思うんですけども
[00:42 - 00:49] 今何がどこまでできているかちょっと教えてもらっていいですか
[00:49 - 00:51] 画面共有いただいてでもいいので
[00:51 - 00:55] はいちょっと共有させていただきます
[00:55 - 01:00] 今はですね
[01:00 - 01:07] 毎日売上げの伝票の方をCSVから登録している段階になります
[01:07 - 01:16] Amazonですからモールごとに登録していて
[01:16 - 01:22] 日々レポートの方で売上げ日報
[01:22 - 01:26] それと順位表
[01:26 - 01:34] この辺りを皆さんに共有している状態です
[01:34 - 01:38] ただできていないところ
[01:38 - 01:40] 進めているところは売上のところ
[01:40 - 01:43] あと在庫を合わせるところで今進めていて
[01:43 - 01:45] あってきているんですけど
[01:45 - 01:49] 原価のところができていなくて
[01:49 - 01:57] 商品台帳のほうには登録はしてはいるんですが
[01:57 - 02:05] 多分CSVから流すと原価が電表には反映されないので
[02:05 - 02:09] 今もあらりがそのまま100%になってしまっている
[02:09 - 02:12] という状態になっていまして
[02:12 - 02:16] 原価は取り込んでいる状態なんですか
[02:16 - 02:20] 原価というか例えば仕入れにかかった数量とか
[02:20 - 02:21] そういうのは入れてるから
[02:21 - 02:24] 在庫数は合ってるけど
[02:24 - 02:26] 原価を入れてないってことなんですかね
[02:26 - 02:29] そうですCSVでは個数は入れてるので
[02:29 - 02:31] その分の在庫は減っていくんですけど
[02:31 - 02:34] そこに原価は入れていないので
[02:34 - 02:37] ゼロっていう形になってしまっていて
[02:37 - 02:40] 今後やるとしたら
[02:40 - 02:43] CSVに全部原価を反映させて
[02:43 - 02:46] 入れていく方法なのか
[02:46 - 02:51] それか台帳に登録してあれば何かしら反映できるのかというところを
[02:51 - 02:52] ちょっと分からなくてですね
[02:52 - 02:54] そこでストップしているような状態です
[02:54 - 03:00] はい じゃあお二人突っ込んでいってください
[03:00 - 03:02] まずGoogleでも運用している
[03:02 - 03:03] 運用している
[03:03 - 03:06] 運用しているけれども
[03:06 - 03:09] それぞれのモールのデータを引っ張って入れている
[03:09 - 03:11] そうですね
[03:11 - 03:16] 悟空の方もちょっと画面を共有させていただきます
[03:41 - 03:47] そういえば紹介してなかったっけ
[03:47 - 03:52] こちらの女性が
[03:52 - 03:55] 坪内と言いまして
[03:55 - 03:57] 荒川さんと
[03:57 - 03:58] まゆさん足した感じ
[03:58 - 04:04] 奥にいるのが野沢さんで
[04:04 - 04:07] システム関係全般
[04:07 - 04:08] やってもらってますって感じなんです
