[00:00 - 00:01] 2月20日からなんでね
[00:01 - 00:04] 2月20日からなんですか
[00:04 - 00:08] 今回じゃあ半期で一応なんか
[00:08 - 00:10] 赤字ですわ
[00:10 - 00:11] 赤字ですわみたいな話ですか
[00:11 - 00:14] 初期投資がいっぱいあるって言えばあるからね
[00:14 - 00:16] それはしょうがねえんだけど
[00:16 - 00:22] 今って販売以外の業務ってなんかしてる?
[00:22 - 00:22] うん、してないです
[00:22 - 00:23] あ、そうなんだ
[00:23 - 00:27] うちもそうなんだけど
[00:27 - 00:30] アルゴリズム変更が起こったのは結構でかいよね
[00:30 - 00:31] そうですね
[00:31 - 00:36] それでどんどん話進めますよ
[00:36 - 00:37] どうぞ
[00:37 - 00:38] ありがとうございます
[00:38 - 00:45] まずは俺がお願いしたのはどんな案内ですか
[00:45 - 00:47] それはもう答え持ってきてるんですけど
[00:47 - 00:50] ちょっとその前にいろいろ聞かせてもらいたくて
[00:50 - 00:50] 現状
[00:50 - 00:54] 現状というか
[00:54 - 01:03] こっちもちょっとお願いというか、一つの原因としてこれをちょっと持ってきてるんですけど
[01:03 - 01:05] 小さくて見えづらいんですけど
[01:05 - 01:15] うちで売ってるセット物と、アナマスさんのオフィシャルで売ってるセット物の値段なんですけどね
[01:15 - 01:18] 例えばMPS3本セット
[01:18 - 01:23] これ本社の4290円の何パーセント引きか
[01:23 - 01:26] 常にオフィシャルでしてるじゃないですか
[01:26 - 01:27] 常にはしてない
[01:27 - 01:30] それをしてて
[01:30 - 01:34] そのお値段でうちが合わせて売った場合
[01:34 - 01:37] 原価と仕入れ値ですね
[01:37 - 01:43] あと送料も全部同じにして売っちゃうと
[01:43 - 01:48] うち儲け240円しかなくて
[01:48 - 01:49] 利益率5%しかない
[01:49 - 01:50] 同じにしたらでしょ
[01:50 - 01:51] 同じにしたら
[01:51 - 01:52] 同じにしたらでしょ
[01:52 - 01:56] だからそれはもう今の仕入れたものからの
[01:56 - 01:59] 分けて出すとかっていう形でやってて
[01:59 - 02:04] 各々独自の売り方っていう路線でやってるからっていうのはあると思うんだよね
[02:04 - 02:04] そうそう
[02:04 - 02:06] それをやっぱりちょっと
[02:06 - 02:10] ここ最近アダマスさんのサイトだったら
[02:10 - 02:14] 送料無料なのにっていう問い合わせが来たりとかしてまして
[02:14 - 02:16] 見てるんだなと
[02:16 - 02:18] アダマスさんのサイトをやっぱり
[02:18 - 02:19] そっちで買われる
[02:19 - 02:22] うちの動画からそっちに流れてるお客さんも
[02:22 - 02:23] まずいるんでやろうと
[02:23 - 02:25] こっちから流れてるのもあるよ
[02:25 - 02:27] もちろん流れてもあんもんですけど
[02:27 - 02:30] 問い合わせで御社で買って
[02:30 - 02:33] うちにサポート依頼っていうのが来たりするのは
[02:33 - 02:37] 利益率を見ていった時に
[02:37 - 02:39] アダマスさんのオフィシャルが
[02:39 - 02:41] リニューアルされたぐらいのタイミングから
[02:41 - 02:44] 徐々に徐々に利益率っていうところが
[02:44 - 02:45] 下がってるなっていうのは
[02:45 - 02:49] でも商品の卸価格は一切変えてないよ
[02:49 - 02:51] 卸の値段は変わってないんですけど
[02:51 - 02:56] そっちの値段の方にやっぱり引っ張られてしまってて
[02:56 - 02:59] こっちもやっぱりアダマスさんが
[02:59 - 03:01] Amazonとかで割引するってなった時に
[03:01 - 03:03] それはAmazonの割引だから
[03:03 - 03:04] しゃーないじゃないですか
[03:04 - 03:06] 言うたって
[03:06 - 03:08] 松下さんに言ってもしゃーないから
[03:08 - 03:12] 同じぐらいでやっぱり値段下げましょうということで
[03:12 - 03:13] ナンパ割引とかすると
[03:13 - 03:16] やっぱりちょっと利益率結構厳しくなってくる
[03:16 - 03:18] っていうのがありますね
[03:18 - 03:20] 今回は解決策持ってきたんだけど
[03:20 - 03:20] そうそう
